destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes/s,flow_packets/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,fwd_header_length,bwd_header_length,fwd_packets/s,bwd_packets/s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,ece_flag_count,down/up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length.1,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label,is_intrusion
80,44083,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,263888.5738,181.4758524,6297.571429,15462.51022,41317,4,2356,1178.0,1660.286722,2352,4,43960,10990.0,20241.60285,41317,190,0,72,112,68.05344464,113.4224077,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,1,1454.125,8.666666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
80,100374648,5,7,386,11595,374,0,77.2,165.9433638,5792,0,1656.428571,2120.732252,119.3628096,0.1195521,9124968.0,30200000.0,100000000,13,100000000,25100000.0,50100000.0,100000000,192,100000000,16700000.0,40900000.0,100000000,46,0,144,232,0.049813375,0.069738725,0,5792,922.0769231,1714.603184,2939864.077,1,0,0,0,0,0,0,1,998.9166667,77.2,1656.428571,144,5,386,7,11595,0,235,2,20,11973.0,0.0,11973,11973,100000000.0,0.0,100000000,100000000,dos,1
53,186,2,2,92,248,46,46,46.0,0.0,124,124,124.0,0.0,1827956.98924731,21505.376344086,62.0,66.1211010193,134,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,80,64,10752.688172043,10752.688172043,46,124,77.2,42.7223594854,1825.2,0,0,0,0,0,0,0,1,96.5,46.0,124.0,80,2,92,2,248,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,83652143,9,6,382,11595,382,0,42.44444444,127.3333333,4344,0,1932.5,1754.831473,143.1762483,0.179313996,5975153.071,22300000.0,83500000,1,83500000,10400000.0,29500000.0,83500000,1,143480,28696.0,57019.62079,130202,14,0,296,200,0.107588397,0.071725598,0,4344,748.5625,1390.081435,1932326.396,0,0,0,0,1,0,0,0,798.4666667,42.44444444,1932.5,296,9,382,6,11595,251,235,1,32,2006.0,0.0,2006,2006,83500000.0,0.0,83500000,83500000,dos,1
53,289,2,2,80,296,40,40,40.0,0.0,148,148,148.0,0.0,1301038.06228374,13840.830449827,96.3333333333,163.3931863124,285,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,80,80,6920.4152249135,6920.4152249135,40,148,83.2,59.1540362106,3499.2,0,0,0,0,0,0,0,1,104.0,40.0,148.0,80,2,80,2,296,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,143,2,2,102,158,51,51,51.0,0.0,79,79,79.0,0.0,1818181.81818182,27972.027972028,47.6666666667,75.6328852638,135,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,64,64,13986.013986014,13986.013986014,51,79,62.2,15.3362316101,235.2,0,0,0,0,0,0,0,1,77.75,51.0,79.0,64,2,102,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,1862433,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,6246.130733,4.295456535,266061.8571,703427.7557,1861286,7,766,383.0,329.51176,616,150,1862418,465604.5,930454.4191,1861286,7,0,72,112,1.6107962,2.684660334,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,1,1454.125,8.666666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
80,100461696,8,6,704,11595,349,0,88.0,161.1059988,5792,0,1932.5,2179.547086,122.4247697,0.139356596,7727822.769,27800000.0,100000000,1,100000000,14300000.0,37800000.0,100000000,1,355396,71079.2,100894.793,215909,50,0,252,200,0.079632341,0.059724256,0,5792,819.9333333,1610.650776,2594195.924,0,0,0,0,1,0,0,0,878.5,88.0,1932.5,252,8,704,6,11595,251,235,3,20,6.0,0.0,6,6,100000000.0,0.0,100000000,100000000,dos,1
53,610625,4,2,152,136,38,38,38.0,0.0,68,68,68.0,0.0,471.64790174,9.8259979529,122125.0,225714.371397791,519708,3,90913,30304.3333333333,52483.4488704137,90907,3,4,4.0,0.0,4,4,0,80,40,6.5506653019,3.275332651,38,68,46.5714285714,14.6385010942,214.2857142857,0,0,0,0,0,0,0,0,54.3333333333,38.0,68.0,80,4,152,2,136,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
3905,80,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,75000.0,25000.0,80.0,0.0,80,80,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,12500.0,12500.0,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,portscan,1
80,70599528,9,6,62,11607,20,0,6.888888889,5.30199124,5840,0,1934.5,2538.919278,165.2843911,0.21246601,5042823.429,16600000.0,62300000,0,70400000,8794857.75,21800000.0,62300000,0,241345,48269.0,107465.8579,240509,2,0,192,132,0.127479606,0.084986404,0,5840,729.6875,1754.344767,3077725.563,0,0,0,0,1,0,0,0,778.3333333,6.888888889,1934.5,192,9,62,6,11607,256,229,7,20,1010.0,0.0,1010,1010,35200000.0,38400000.0,62300000,8015867,ddos,1
80,99509707,9,6,358,11595,358,0,39.77777778,119.3333333,7240,0,1932.5,2695.639126,120.1189347,0.150739063,7107836.214,26600000.0,99400000,1,99400000,12400000.0,35100000.0,99400000,1,148452,29690.4,60261.02187,137158,45,0,296,200,0.090443438,0.060295625,0,7240,747.0625,1824.613474,3329214.329,0,0,0,0,1,0,0,0,796.8666667,39.77777778,1932.5,296,9,358,6,11595,251,235,1,32,4009.0,0.0,4009,4009,99400000.0,0.0,99400000,99400000,dos,1
443,353592,6,8,482,644,322,0,80.3333333333,133.203103067,485,0,80.5,169.5051621633,3184.4611869047,39.5936559651,27199.3846153846,31367.4508355887,90979,1,298532,59706.4,17542.9871686666,91027,50479,302505,43215.0,58220.1763452041,141507,1,0,204,264,16.9687096993,22.6249462658,0,485,75.0666666667,145.3756054731,21134.0666666667,0,0,0,1,0,0,0,1,80.4285714286,80.3333333333,80.5,204,6,482,8,644,65535,114,3,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,30506,1,1,48,111,48,48,48.0,0.0,111,111,111.0,0.0,5212.0894250312,65.5608732708,30506.0,0.0,30506,30506,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,32.7804366354,32.7804366354,48,111,69.0,36.3730669589,1323.0,0,0,0,0,0,0,0,1,103.5,48.0,111.0,20,1,48,1,111,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,100721005,8,6,726,11595,360,0,90.75,166.1976018,4344,0,1932.5,1754.831473,122.3280089,0.138997819,7747769.615,27800000.0,100000000,2,101000000,14400000.0,37900000.0,100000000,2,353714,70742.8,100643.7242,215959,34,0,252,200,0.079427325,0.059570494,0,4344,821.4,1412.780228,1995947.971,0,0,0,0,1,0,0,0,880.0714286,90.75,1932.5,252,8,726,6,11595,251,235,3,20,1015.0,0.0,1015,1015,100000000.0,0.0,100000000,100000000,dos,1
80,1224741,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,9498.33475,5.715494133,204123.5,499702.5633,1224137,3,550,275.0,384.666089,547,3,1224724,408241.3333,706586.4331,1224137,5,0,72,92,2.449497486,3.265996647,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,1,1661.857143,8.666666667,2901.75,72,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
80,97904801,8,6,56,11607,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,119.1259252,0.142996052,7531138.538,26300000.0,94900000,2,97200000,13900000.0,35700000.0,94900000,96,712108,142421.6,317958.6685,711203,2,0,172,132,0.08171203,0.061284022,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,833.5,7.0,1934.5,172,8,56,6,11607,256,229,6,20,2280798.0,0.0,2280798,2280798,94900000.0,0.0,94900000,94900000,ddos,1
80,67749523,6,5,306,11595,306,0,51.0,124.9239769,7240,0,2319.0,3331.638186,175.6617534,0.162362767,6774952.3,21400000.0,67600000,3,67600000,13500000.0,30200000.0,67600000,3,148403,37100.75,66878.21983,137119,65,0,200,168,0.088561509,0.073801258,0,7240,991.75,2327.28629,5416261.477,0,0,0,0,1,0,0,0,1081.909091,51.0,2319.0,200,6,306,5,11595,251,235,1,32,977.0,0.0,977,977,67600000.0,0.0,67600000,67600000,dos,1
80,101056858,6,7,335,11595,317,0,55.83333333,127.9787743,7240,0,1656.428571,2698.609263,118.0523542,0.128640453,8421404.833,29100000.0,101000000,1,101000000,20200000.0,45100000.0,101000000,1,101000000,16800000.0,41200000.0,101000000,71,0,164,232,0.059372517,0.069267936,0,7240,852.5714286,2015.814045,4063506.264,1,0,0,0,0,0,0,1,918.1538462,55.83333333,1656.428571,164,6,335,7,11595,0,235,3,20,12020.0,0.0,12020,12020,101000000.0,0.0,101000000,101000000,dos,1
53,30779,1,1,42,58,42,42,42.0,0.0,58,58,58.0,0.0,3248.9684525163,64.9793690503,30779.0,0.0,30779,30779,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,32.4896845252,32.4896845252,42,58,47.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,1,71.0,42.0,58.0,32,1,42,1,58,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,11594689,6,0,36,0,6,6,6.0,0.0,0,0,0.0,0.0,3.104869824,0.517478304,2318937.8,5184740.203,11600000,1,11600000,2318937.8,5184740.203,11600000,1,0,0.0,0.0,0,0,0,120,0,0.517478304,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.0,6.0,0.0,120,6,36,0,0,256,-1,5,20,1006.0,0.0,1006,1006,11600000.0,0.0,11600000,11600000,ddos,1
53,24113,2,2,90,218,45,45,45.0,0.0,109,109,109.0,0.0,12773.1928835068,165.8856218637,8037.6666666667,13914.7188377392,24105,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,40,64,82.9428109319,82.9428109319,45,109,70.6,35.0542436803,1228.8,0,0,0,0,0,0,0,1,88.25,45.0,109.0,40,2,90,2,218,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,30645,2,2,64,120,32,32,32.0,0.0,60,60,60.0,0.0,6004.2421275902,130.5270027737,10215.0,17685.9707960858,30637,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,64,40,65.2635013868,65.2635013868,32,60,43.2,15.3362316101,235.2,0,0,0,0,0,0,0,1,54.0,32.0,60.0,64,2,64,2,120,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,99999970,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.160000048,0.040000012,33300000.0,57700000.0,100000000,80,100000000,100000000.0,0.0,100000000,100000000,100000000,100000000.0,0.0,100000000,100000000,1,64,64,0.020000006,0.020000006,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,1,6.0,8.0,0.0,64,2,16,2,0,229,235,1,32,80.0,0.0,80,80,100000000.0,0.0,100000000,100000000,dos,1
80,3002373,5,6,311,11595,311,0,62.2,139.0834282,5792,0,1932.5,2537.820147,3965.529932,3.663768626,300237.3,675579.7208,2003780,13,3001623,750405.75,958585.8926,2003780,221,1524,304.8,355.9518226,886,13,0,184,200,1.665349375,1.99841925,0,5792,992.1666667,1974.703146,3899452.515,0,0,0,1,0,0,0,1,1082.363636,62.2,1932.5,184,5,311,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,dos,1
53,263,2,2,60,172,30,30,30.0,0.0,86,86,86.0,0.0,882129.27756654,15209.1254752852,87.6666666667,146.6469683742,257,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,40,40,7604.5627376426,7604.5627376426,30,86,52.4,30.6724632203,940.8,0,0,0,0,0,0,0,1,65.5,30.0,86.0,40,2,60,2,172,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,86662040,6,7,348,11595,336,0,58.0,136.223346,5792,0,1656.428571,2429.118623,137.8112032,0.150008008,7221836.667,24700000.0,85700000,47,86700000,17300000.0,38200000.0,85700000,392,86700000,14400000.0,35400000.0,86700000,47,0,184,232,0.069234465,0.080773543,0,5792,853.5,1850.665691,3424963.5,1,0,0,0,0,0,0,1,919.1538462,58.0,1656.428571,184,6,348,7,11595,0,235,2,20,9983.0,0.0,9983,9983,85700000.0,0.0,85700000,85700000,dos,1
80,97585587,4,7,370,11595,364,0,92.5,181.0220981,2896,0,1656.428571,1302.532387,122.6103195,0.112721564,9758558.7,30800000.0,97400000,31,97400000,32500000.0,56300000.0,97400000,48,149583,24930.5,56527.12728,140086,31,0,124,232,0.04098966,0.071731904,0,2896,997.5833333,1264.06023,1597848.265,1,0,0,0,0,0,0,1,1088.272727,92.5,1656.428571,124,4,370,7,11595,0,235,1,20,0.0,0.0,0,0,97400000.0,0.0,97400000,97400000,dos,1
80,6296952,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.811367786,0.635227964,2098984.0,3634702.59,6295977,2,6296952,2098984.0,3634702.59,6295977,2,0,0.0,0.0,0,0,0,80,0,0.635227964,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.5,6.0,0.0,80,4,24,0,0,256,-1,3,20,975.0,0.0,975,975,6295977.0,0.0,6295977,6295977,ddos,1
80,85466322,8,5,346,11595,346,0,43.25,122.3294731,8688,0,2319.0,3774.237539,139.7158521,0.152106698,7122193.5,24600000.0,85300000,1,85300000,12200000.0,32200000.0,85300000,1,175609,43902.25,75448.82889,156297,188,0,264,168,0.093604122,0.058502576,0,8688,852.9285714,2382.680729,5677167.456,0,0,0,0,1,0,0,0,918.5384615,43.25,2319.0,264,8,346,5,11595,274,235,1,32,1007.0,0.0,1007,1007,85300000.0,0.0,85300000,85300000,dos,1
80,83033297,8,4,56,11607,20,0,7.0,5.656854249,11595,0,2901.75,5795.50069,140.4617234,0.144520336,7548481.545,23500000.0,78200000,4,83000000,11900000.0,29300000.0,78200000,4,31538,10512.66667,17580.83674,30809,4,0,172,92,0.096346891,0.048173445,0,11595,897.6153846,3214.167532,10300000.0,0,0,0,0,1,0,0,0,972.4166667,7.0,2901.75,172,8,56,4,11607,256,229,6,20,4779904.0,0.0,4779904,4779904,78200000.0,0.0,78200000,78200000,ddos,1
443,133404,10,5,1401,687,1157,0,140.1,360.3219085454,549,0,137.4,237.7242099577,15651.7045965638,112.4404065845,9528.8571428572,15568.8772524257,36775,47,133404,14822.6666666667,22243.1963080849,56308,48,94987,23746.75,17375.9132973397,37366,699,0,332,168,74.9602710563,37.4801355282,0,1157,130.5,306.8906428464,94181.8666666667,0,0,0,1,0,0,0,0,139.2,140.1,137.4,332,10,1401,5,687,65535,362,5,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,115655024,22,20,6030,5279,5647,0,274.0909090909,1201.1729548789,1418,0,263.95,520.4315491671,97.7821767604,0.3631489454,2820854.24390244,4472090.41224136,10031559,3,115655024,5507382.09523809,4984470.26928297,10067926,3,110772737,5830144.05263158,5082276.49872087,10067804,3,0,712,648,0.1902208762,0.1729280693,0,5647,263.0,919.5906180263,845646.904761905,0,0,0,1,0,0,0,0,269.2619047619,274.0909090909,263.95,712,22,6030,20,5279,29200,455,4,32,57895.3636363636,71625.7958996237,273855,36177,10012357.0909091,7293.9377904469,10031559,9999775,benign,0
123,27145,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,3536.5629029287,73.678393811,27145.0,0.0,27145,27145,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,20,36.8391969055,36.8391969055,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,7547869,9,6,905,3569,342,0,100.5555555556,149.7022971693,1589,0,594.8333333333,682.1147752883,592.7500861501,1.9873158901,539133.5,1238061.23171456,4746103,5,2801766,350220.75,295951.675675873,906759,171,7408349,1481669.8,2042930.70112295,5004909,5,0,192,132,1.1923895341,0.794926356,0,1589,279.625,480.8748797764,231240.65,0,0,0,1,0,0,0,0,298.2666666667,100.5555555556,594.8333333333,192,9,905,6,3569,8192,5255,8,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,161,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,74534.1614906832,12422.3602484472,161.0,0.0,161,161,161,161.0,0.0,161,161,0,0.0,0.0,0,0,0,40,0,12422.3602484472,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,9.0,6.0,0.0,40,2,12,0,0,31746,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
